scheduler,workload,repetition,pid,cpu_ticks,wait_ticks,response_ticks,turnaround_ticks,context_switches
fairshare,starvation,2,32,0,0,0,0,1
fairshare,starvation,2,33,0,0,0,0,1
fairshare,starvation,2,34,0,1,1,1,1
fairshare,starvation,2,35,0,1,1,1,1
fairshare,starvation,2,36,0,1,1,1,1
fairshare,starvation,2,37,0,0,0,0,1
fairshare,starvation,2,38,0,0,0,0,1
fairshare,starvation,2,39,0,0,0,0,1
fairshare,starvation,2,40,0,0,0,0,1
fairshare,starvation,2,41,0,0,0,0,1
fairshare,starvation,2,42,1,11,0,12,2
fairshare,starvation,2,43,0,1,1,1,1
fairshare,starvation,2,44,0,1,1,1,1
fairshare,starvation,2,45,0,0,0,0,1
fairshare,starvation,2,46,0,0,0,0,1
fairshare,starvation,2,47,0,0,0,0,1
fairshare,starvation,2,48,0,0,0,0,1
fairshare,starvation,2,49,0,0,0,0,1
fairshare,starvation,2,50,0,0,0,0,1
fairshare,starvation,2,51,0,0,0,0,1
fairshare,starvation,2,52,0,0,0,0,1
fairshare,starvation,2,53,0,0,0,0,1
fairshare,starvation,2,54,0,0,0,0,1
fairshare,starvation,2,55,0,0,0,0,1
fairshare,starvation,2,56,0,1,1,1,1
fairshare,starvation,2,57,0,0,0,0,1
fairshare,starvation,2,58,0,0,0,0,1
fairshare,starvation,2,59,0,0,0,0,1
fairshare,starvation,2,60,0,1,1,1,1
fairshare,starvation,2,61,0,0,0,0,1
fairshare,starvation,2,62,0,0,0,0,1
fairshare,starvation,2,63,0,0,0,0,1
fairshare,starvation,2,64,0,0,0,0,1
fairshare,starvation,2,65,0,0,0,0,1
fairshare,starvation,2,66,0,0,0,0,1
fairshare,starvation,2,67,0,0,0,0,1
fairshare,starvation,2,68,0,0,0,0,1
fairshare,starvation,2,69,0,0,0,0,1
fairshare,starvation,2,70,0,1,1,1,1
fairshare,starvation,2,71,0,1,1,1,1
fairshare,starvation,2,72,0,1,1,1,1
fairshare,starvation,2,73,0,0,0,0,1
fairshare,starvation,2,74,0,1,1,1,1
fairshare,starvation,2,75,0,1,1,1,1
fairshare,starvation,2,76,0,1,1,1,1
fairshare,starvation,2,77,0,0,0,0,1
fairshare,starvation,2,78,0,1,1,1,1
fairshare,starvation,2,79,0,1,1,1,1
fairshare,starvation,2,80,0,1,1,1,1
fairshare,starvation,2,81,0,0,0,0,1
fairshare,starvation,2,82,0,0,0,0,1
fairshare,starvation,2,83,0,1,1,1,1
fairshare,starvation,2,84,0,1,1,1,1
fairshare,starvation,3,3,3,13,0,19,91
fairshare,starvation,3,4,4,14,0,18,5
fairshare,starvation,3,5,0,2,2,2,1
fairshare,starvation,3,6,0,2,2,2,1
fairshare,starvation,3,7,0,2,2,2,1
fairshare,starvation,3,8,0,2,2,2,1
fairshare,starvation,3,9,0,0,0,0,1
fairshare,starvation,3,10,0,0,0,0,1
fairshare,starvation,3,11,0,1,1,1,1
fairshare,starvation,3,12,0,1,1,1,1
fairshare,starvation,3,13,0,0,0,0,1
fairshare,starvation,3,14,0,0,0,0,1
fairshare,starvation,3,15,0,0,0,0,1
fairshare,starvation,3,16,0,0,0,0,1
fairshare,starvation,3,17,0,0,0,0,1
fairshare,starvation,3,18,0,0,0,0,1
fairshare,starvation,3,19,0,0,0,0,1
fairshare,starvation,3,20,0,0,0,0,1
fairshare,starvation,3,21,0,0,0,0,1
fairshare,starvation,3,22,0,1,1,1,1
fairshare,starvation,3,23,0,1,1,1,1
fairshare,starvation,3,24,0,1,1,1,1
fairshare,starvation,3,25,0,0,0,0,1
fairshare,starvation,3,26,0,0,0,0,1
fairshare,starvation,3,27,0,0,0,0,1
fairshare,starvation,3,28,0,1,1,1,1
fairshare,starvation,3,29,0,0,0,0,1
fairshare,starvation,3,30,0,0,0,0,1
fairshare,starvation,3,31,0,0,0,0,1
fairshare,starvation,3,32,0,0,0,0,1
fairshare,starvation,3,33,0,0,0,0,1
fairshare,starvation,3,34,0,0,0,0,1
fairshare,starvation,3,35,0,0,0,0,1
fairshare,starvation,3,36,0,1,1,1,1
fairshare,starvation,3,37,0,0,0,0,1
fairshare,starvation,3,38,0,0,0,0,1
fairshare,starvation,3,39,0,0,0,0,1
fairshare,starvation,3,40,0,0,0,0,1
fairshare,starvation,3,41,0,0,0,0,1
fairshare,starvation,3,42,0,0,0,0,1
fairshare,starvation,3,43,0,0,0,0,1
fairshare,starvation,3,44,0,0,0,0,1
fairshare,starvation,3,45,0,0,0,0,1
fairshare,starvation,3,46,0,0,0,0,1
fairshare,starvation,3,47,0,0,0,0,1
fairshare,starvation,3,48,0,0,0,0,1
fairshare,starvation,3,49,0,0,0,0,1
fairshare,starvation,3,50,0,1,1,1,1
fairshare,starvation,3,51,0,1,1,1,1
fairshare,starvation,3,52,0,1,1,1,1
fairshare,starvation,3,53,0,0,0,0,1
fairshare,starvation,3,54,0,0,0,0,1
fairshare,starvation,3,55,0,0,0,0,1
fairshare,starvation,3,56,0,0,0,0,1
fairshare,starvation,3,57,0,0,0,0,1
fairshare,starvation,3,58,0,1,1,1,1
fairshare,starvation,3,59,0,1,1,1,1
fairshare,starvation,3,60,0,1,1,1,1
fairshare,starvation,3,61,0,0,0,0,1
fairshare,starvation,3,62,0,0,0,0,1
fairshare,starvation,3,63,0,0,0,0,1
fairshare,starvation,3,64,0,0,0,0,1
fairshare,starvation,3,65,0,2,2,2,1
fairshare,starvation,3,66,0,2,2,2,1
fairshare,starvation,3,67,0,1,1,1,1
fairshare,starvation,3,68,0,1,1,1,1
fairshare,starvation,3,69,0,0,0,0,1
fairshare,starvation,3,70,0,0,0,0,1
fairshare,starvation,3,71,0,0,0,0,1
fairshare,starvation,3,72,0,0,0,0,1
fairshare,starvation,3,73,0,0,0,0,1
fairshare,starvation,3,74,0,1,1,1,1
fairshare,starvation,3,75,0,1,1,1,1
fairshare,starvation,3,76,0,1,1,1,1
fairshare,starvation,3,77,0,0,0,0,1
fairshare,starvation,3,78,0,0,0,0,1
fairshare,starvation,3,79,0,1,1,1,1
fairshare,starvation,3,80,0,1,1,1,1
fairshare,starvation,3,81,0,0,0,0,1
fairshare,starvation,3,82,0,0,0,0,1
fairshare,starvation,3,83,0,1,1,1,1
fairshare,starvation,3,84,0,1,1,1,1
vanilla,cpubound,1,3,3,0,0,3,9
vanilla,cpubound,2,3,3,0,0,3,9
vanilla,cpubound,3,3,3,0,0,3,9
vanilla,iobound,1,3,1,0,0,61,67
vanilla,iobound,2,3,0,0,0,60,66
vanilla,iobound,3,3,0,0,0,61,66
vanilla,mixed,2,3,0,0,0,40,46
vanilla,mixed,3,3,0,0,0,40,45
vanilla,starvation,1,3,3,14,0,19,30
vanilla,starvation,1,4,3,2,1,5,4
vanilla,starvation,1,5,0,1,1,1,1
vanilla,starvation,1,6,0,1,1,1,1
vanilla,starvation,1,7,0,1,1,1,1
vanilla,starvation,1,8,0,1,1,1,1
vanilla,starvation,1,9,0,1,1,1,1
vanilla,starvation,1,10,0,1,1,1,1
vanilla,starvation,1,11,0,1,1,1,1
vanilla,starvation,1,12,0,1,1,1,1
vanilla,starvation,1,13,0,0,0,0,1
vanilla,starvation,1,14,1,0,0,1,2
vanilla,starvation,1,15,0,1,1,1,1
vanilla,starvation,1,16,0,1,1,1,1
vanilla,starvation,1,17,0,0,0,0,1
vanilla,starvation,1,18,0,0,0,0,1
vanilla,starvation,1,19,0,0,0,0,1
vanilla,starvation,1,20,1,0,0,1,2
vanilla,starvation,1,21,0,0,0,0,1
vanilla,starvation,1,22,0,0,0,0,1
vanilla,starvation,1,23,0,0,0,0,1
vanilla,starvation,1,24,0,0,0,0,1
vanilla,starvation,1,25,0,0,0,0,1
vanilla,starvation,1,26,0,0,0,0,1
vanilla,starvation,1,27,0,0,0,0,1
vanilla,starvation,1,28,1,0,0,1,2
vanilla,starvation,1,29,0,0,0,0,1
vanilla,starvation,1,30,0,0,0,0,1
vanilla,starvation,1,31,0,0,0,0,1
vanilla,starvation,1,32,0,0,0,0,1
vanilla,starvation,1,33,0,0,0,0,1
vanilla,starvation,1,34,0,0,0,0,1
vanilla,starvation,1,35,0,0,0,0,1
vanilla,starvation,1,36,1,0,0,1,2
vanilla,starvation,1,37,0,0,0,0,1
vanilla,starvation,1,38,0,0,0,0,1
vanilla,starvation,1,39,0,0,0,0,1
vanilla,starvation,1,40,0,0,0,0,1
vanilla,starvation,1,41,0,0,0,0,1
vanilla,starvation,1,42,0,0,0,0,1
vanilla,starvation,1,43,1,0,0,1,2
vanilla,starvation,1,44,0,1,1,1,1
vanilla,starvation,1,45,0,0,0,0,1
vanilla,starvation,1,46,0,0,0,0,1
vanilla,starvation,1,47,0,0,0,0,1
vanilla,starvation,1,48,1,1,0,2,2
vanilla,starvation,1,49,0,0,0,0,1
vanilla,starvation,1,50,0,0,0,0,1
vanilla,starvation,1,51,0,0,0,0,1
vanilla,starvation,1,52,1,0,0,1,2
vanilla,starvation,1,53,0,0,0,0,1
vanilla,starvation,1,54,0,0,0,0,1
vanilla,starvation,1,55,0,0,0,0,1
vanilla,starvation,1,56,1,0,0,1,2
vanilla,starvation,1,57,0,0,0,0,1
vanilla,starvation,1,58,0,0,0,0,1
vanilla,starvation,1,59,0,0,0,0,1
vanilla,starvation,1,60,0,0,0,0,1
vanilla,starvation,1,61,0,0,0,0,1
vanilla,starvation,1,62,0,0,0,0,1
vanilla,starvation,1,63,1,0,0,1,2
vanilla,starvation,1,64,0,1,1,1,1
vanilla,starvation,1,65,0,0,0,0,1
vanilla,starvation,1,66,0,0,0,0,1
vanilla,starvation,1,67,0,0,0,0,1
vanilla,starvation,1,68,2,0,0,2,3
vanilla,starvation,1,69,0,0,0,0,1
vanilla,starvation,1,70,0,0,0,0,1
vanilla,starvation,1,71,0,0,0,0,1
vanilla,starvation,1,72,0,0,0,0,1
vanilla,starvation,1,73,0,0,0,0,1
vanilla,starvation,1,74,0,0,0,0,1
vanilla,starvation,1,75,0,0,0,0,1
vanilla,starvation,1,76,0,0,0,0,1
vanilla,starvation,1,77,0,0,0,0,1
vanilla,starvation,1,78,1,0,0,1,2
vanilla,starvation,1,79,0,1,1,1,1
vanilla,starvation,1,80,0,1,1,1,1
vanilla,starvation,1,81,0,0,0,0,1
vanilla,starvation,1,82,0,0,0,0,1
vanilla,starvation,1,83,0,0,0,0,1
vanilla,starvation,1,84,0,0,0,0,1
vanilla,starvation,2,3,2,9,0,22,29
vanilla,starvation,2,4,11,0,0,11,12
vanilla,starvation,2,5,0,1,1,1,1
vanilla,starvation,2,6,0,1,1,1,1
vanilla,starvation,2,7,0,1,1,1,1
